violation_id,timestamp,lat,lon,violation_type,severity,description,source
V001,2026-02-18T08:30:00,19.076,72.8777,illegal_dumping,4,Unauthorized waste dumping near railway tracks,field_inspection
V002,2026-02-18T09:15:00,19.0176,72.8562,industrial_emission,5,Excessive smoke from factory chimney,sensor_alert
V003,2026-02-17T14:20:00,18.5204,73.8567,noise,3,Construction noise exceeding permissible limits,complaint
V004,2026-02-17T16:45:00,28.7041,77.1025,illegal_dumping,5,Large-scale debris dumping in open ground,drone_survey
V005,2026-02-17T11:00:00,28.6139,77.209,industrial_emission,4,Chemical fumes from unauthorized factory,resident_report
V006,2026-02-16T07:30:00,12.9716,77.5946,water_pollution,5,Effluent discharge into storm water drain,field_inspection
V007,2026-02-16T13:20:00,13.0827,80.2707,illegal_dumping,3,Municipal waste dumped on vacant plot,complaint
V008,2026-02-16T10:00:00,22.5726,88.3639,water_pollution,4,Tannery waste in canal,sensor_alert
V009,2026-02-15T09:45:00,26.9124,75.7873,noise,2,DJ music beyond permitted hours,complaint
V010,2026-02-15T08:00:00,23.0225,72.5714,industrial_emission,5,Cement plant dust emission,field_inspection
V011,2026-02-19T06:30:00,17.385,78.4867,illegal_dumping,4,Bio-medical waste found near lake,drone_survey
V012,2026-02-19T07:45:00,21.1702,72.8311,water_pollution,3,Dye factory discharge into river,resident_report
V013,2026-02-18T17:00:00,26.8467,80.9462,noise,4,Industrial area generator noise,complaint
V014,2026-02-18T12:30:00,25.3176,82.9739,illegal_dumping,5,Hospital waste in open drain,field_inspection
V015,2026-02-17T08:15:00,30.7333,76.7794,industrial_emission,3,Brick kiln emissions,sensor_alert
V016,2026-02-19T10:00:00,19.076,72.8777,water_pollution,4,Sewage overflow in residential area,resident_report
V017,2026-02-19T11:30:00,28.7041,77.1025,noise,3,Heavy vehicle horns near school zone,complaint
V018,2026-02-18T14:00:00,12.9716,77.5946,illegal_dumping,5,E-waste dumping near IT park,drone_survey
V019,2026-02-17T09:00:00,22.5726,88.3639,industrial_emission,4,Jute mill chimney smoke,sensor_alert
